term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Afghanistan Asylum,Under threat of an honor killing  a young couple cannot get a visa to leave Afghanistan.,BAMIAN  Afghanistan — THIS summer a young newlywed couple watched with a mixture of envy and interest as tens of thousands of their neighbors and countrymen made their way to Europe in the hopes of claiming asylum. Living under the threat of an honor killing for eloping against their families’ wishes  the couple  Zakia and Mohammad Ali  had a better case than most Afghans  but after anguishing over whether to go  they decided to remain here in hiding rather than take the risk of fleeing.,Under threat of an honor killing  a young couple cannot get a visa to leave Afghanistan.,The New York Times,3,In Danger in Afghanistan  Unable to Flee,In Danger in Afghanistan  Unable to Flee,2015-12-05T20:54:45+0000,OpEd,Sunday Review,article,https://www.nytimes.com/2015/12/06/sunday-review/in-danger-in-afghanistan-unable-to-flee.html,News Analysis,,nyt://article/fb0f1a09-f49f-5c43-b410-df77794689dc
Afghanistan Asylum,The diplomatic drain comes amid uncertainty over what conditions will be like in the country after the Western military withdrawal  scheduled to be completed in 2014.,KABUL  Afghanistan — When it comes to expressing confidence in Afghanistan’s future  many of the country’s diplomats seem to be voting with their feet when their tours of duty end.,The diplomatic drain comes amid uncertainty over what conditions will be like in the country after the Western military withdrawal  scheduled to be completed in 2014.,The New York Times,7,As Uncertainty Reigns Back Home  Many Afghan Envoys Decline to Return ,As Uncertainty Reigns Back Home  Many Afghan Envoys Decline to Return,2013-07-12T19:42:46+0000,Foreign,World,article,https://www.nytimes.com/2013/07/13/world/asia/once-abroad-many-afghan-diplomats-never-return.html,News,,nyt://article/bf29c839-0d27-58cd-9a5a-7cf5a497c790
Afghanistan Asylum,Prime Minister Kevin Rudd of Australia will visit Indonesia with one thorny issue atop his agenda: turning the flood of asylum seekers back to a trickle.,SYDNEY — When Prime Minister Kevin Rudd of Australia arrives in Indonesia on Thursday for annual talks with President Susilo Bambang Yudhoyono  one thorny domestic issue seems sure to top his agenda: turning the flood of asylum seekers trying to reach his country’s shores back to a trickle.,Prime Minister Kevin Rudd of Australia will visit Indonesia with one thorny issue atop his agenda: turning the flood of asylum seekers back to a trickle.,International Herald Tribune,,Australian Premier Seeks to Slow Tide of Refugees,Australian Premier Seeks to Slow Tide of Refugees,2013-07-04T00:21:58+0000,Foreign,World,article,https://www.nytimes.com/2013/07/04/world/asia/Australian-Premier-Kevin-Rudd-Seeks-to-Slow-Tide-of-Refugees.html,News,,nyt://article/9eb4daec-9913-52a1-a63c-14052f40886a
Afghanistan Asylum,Far-right ultranationalist groups are exploiting old enmities and new fears across Europe  inflaming xenophobia and violence against immigrants and minorities.,ONE evening in September 2011  Ali Rahimi  a 27-year-old Afghan asylum seeker  was hanging around with friends outside his building in central Athens when more than a dozen Greeks approached. Several men set upon Mr. Rahimi  one with a knife. Panicked  he fled into his apartment and fought back  managing to push the men out the door. He found blood gushing from just above his heart  one of five stab wounds in his back and chest. ,Far-right ultranationalist groups are exploiting old enmities and new fears across Europe  inflaming xenophobia and violence against immigrants and minorities.,The New York Times,4,Europe’s New Fascists,Europe’s New Fascists,2012-11-17T20:32:42+0000,OpEd,Opinion,article,https://www.nytimes.com/2012/11/18/opinion/sunday/europes-new-fascists.html,Op-Ed,,nyt://article/897f7d45-9977-5003-9f61-36439c5b7c7c
Afghanistan Asylum,Several European countries had been sending migrants back to their first port of entry  despite warnings from the U.N. and the Council of Europe that Greece’s system was dysfunctional.,PARIS — A closely watched human rights court case in Strasbourg has spurred several European nations to halt the forced return of asylum seekers to Greece. ,Several European countries had been sending migrants back to their first port of entry  despite warnings from the U.N. and the Council of Europe that Greece’s system was dysfunctional.,International Herald Tribune,,Rights Ruling Stops Return of Refugees to Greece,Rights Ruling Stops Return of Refugees to Greece,2011-01-26T20:08:24+0000,Foreign,World,article,https://www.nytimes.com/2011/01/27/world/europe/27iht-asylum27.html,News,,nyt://article/6075a0a5-0b27-5443-9f4d-ccf182039a04
Afghanistan Asylum,Prime Minister Julia Gillard announced a plan on Tuesday for tackling the surge in the number of asylum seekers arriving from Indonesia  one of Australia’s most divisive issues.,SYDNEY  Australia  Prime Minister Julia Gillard unveiled her strategy for tackling one of the country’s most divisive issues on Tuesday with a sweeping plan to establish a regional center for processing boat people aiming for refuge in Australia. ,Prime Minister Julia Gillard announced a plan on Tuesday for tackling the surge in the number of asylum seekers arriving from Indonesia  one of Australia’s most divisive issues.,The New York Times,9,Australia Leader Proposes Refugee Hub in East Timor,Australia Leader Proposes Refugee Hub in East Timor,2010-07-06T08:52:21+0000,Foreign,World,article,https://www.nytimes.com/2010/07/07/world/asia/07australia.html,News,,nyt://article/98111845-7a9a-5b92-aa4d-4cf4bf75babc
Afghanistan Asylum,The new Christmas Island refugee detention center has come to symbolize what many call one of Australia’s defining fears: the arrival of boat people from Asia .,CHRISTMAS ISLAND  Australia  Deep in the jungle on this small island lost in the Indian Ocean  Australia’s new $370 million refugee detention center reaches its full power after its lights come on at dusk. Bracketed by rain forest  steep cliffs and the sea  it rises from the enveloping darkness and becomes visible from the island’s only inhabited corner  about 10 miles away.,The new Christmas Island refugee detention center has come to symbolize what many call one of Australia’s defining fears: the arrival of boat people from Asia .,The New York Times,6,Australia Puts Its Refugee Problem on a Remote Island  Behind Razor Wire,Australia Puts Its Refugee Problem on a Remote Island  Behind Razor Wire,2009-11-05T00:26:15+0000,Foreign,World,article,https://www.nytimes.com/2009/11/05/world/asia/05island.html,News,,nyt://article/31326111-fbee-543f-b841-c68a6934d891
Afghanistan Asylum,,CARACAS — Venezuela is considering selling its fleet of U.S.-made F-16 fighter jets to another country  perhaps Iran  in response to an American ban on arms sales to President Hugo Chávez's government  a military official said Tuesday.,CARACAS — Venezuela is considering selling its fleet of U.S.-made F-16 fighter jets to another country  perhaps Iran  in response to an American ban on arms sales to President Hugo Chávez's government  a military official said Tuesday.,International Herald Tribune,,Venezuela may sell jets to Iran  official asserts,Venezuela may sell jets to Iran  official asserts,2006-05-16T05:00:00+0000,IHT News,World,article,https://www.nytimes.com/2006/05/16/world/americas/16iht-briefs.html,News,,nyt://article/576e92f1-adb9-52a5-bbcb-da4e219c4c84
Afghanistan Asylum,Thirty-nine Afghans seeking asylum begin hunger strike in Bogor (Indonesia); group was trying to get to Australia when they were detained (S),A group of 39 Afghan asylum seekers started a hunger strike in Bogor  a city south of Jakarta  after the United Nations refused to grant them refugee status and relocate them to a third country. Eighteen of the protestors sewed their mouths shut. The group had been intercepted en route to Australia from Indonesia by the Indonesian authorities two years ago. Evelyn Rusli (NYT),Thirty-nine Afghans seeking asylum begin hunger strike in Bogor (Indonesia); group was trying to get to Australia when they were detained (S),The New York Times,14,World Briefing | Asia-Pacific: Indonesia: Afghans Fast For Asylum,World Briefing | Asia-Pacific: Indonesia: Afghans Fast For Asylum,2004-08-12T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2004/08/12/world/world-briefing-asia-pacific-indonesia-afghans-fast-for-asylum.html,News,,nyt://article/0dbcf0e6-3f5e-5ab7-9bfa-ead37c8bcbbc
Afghanistan Asylum,EUROPE., EUROPE ,EUROPE.,The New York Times,,World Briefings,World Briefings,2004-08-12T05:00:00+0000,International,World,article,https://www.nytimes.com/2004/08/12/international/world-briefings.html,News,,nyt://article/cd7f8d3d-f099-5064-bc91-c8c5f798c4c9
Afghanistan Asylum,Two Ghanaian boys dressed in clothes for heat of Africa are found dead in undercarriage of Ghana Airways DC-10 airliner that lands in wintry London; deaths underscore pressures and desperation that drive people from poor and troubled lands to seek...,Carrying little more than an empty wallet and a broken padlock between them  two Ghanaian boys in clothes for the heat of Africa were found dead in the undercarriage of a Ghana Airways DC-10 airliner that landed in wintry London on Saturday  the police said today.,Two Ghanaian boys dressed in clothes for heat of Africa are found dead in undercarriage of Ghana Airways DC-10 airliner that lands in wintry London; deaths underscore pressures and desperation that drive people from poor and troubled lands to seek new lives in wealthy Europe; photos (M),The New York Times,14,Perils of Migration: 2 Ghanaian Boys Die as Flight Stowaways,Perils of Migration: 2 Ghanaian Boys Die as Flight Stowaways,2002-12-06T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/12/06/world/perils-of-migration-2-ghanaian-boys-die-as-flight-stowaways.html,News,,nyt://article/7099e291-47e5-59bd-a305-3c7b665a5995
Afghanistan Asylum,GEORGIA: President Visits Rebel Area; RUSSIA: Member Of Parliament Attacked; DENMARK: Afghans Offered Cash To Go Home;., GEORGIA: PRESIDENT VISITS REBEL AREA President Eduard A. Shevardnadze visited the Pankisi Gorge  a lawless region said to be home to dozens of Islamic militants and rebels fighting for independence in the Russian republic of Chechnya. His visit came as hundreds of Georgian police and interior troops set up checkpoints in the region in an effort to establish order  as Russia has long demanded. He also attended a memorial service for an elderly Georgian killed in an airstrike on Friday that Georgian officials said was carried out by Russia. The troops in Pankisi have yet to arrest any armed fighters  who appear to have fled in advance of the operation. ,GEORGIA: President Visits Rebel Area; RUSSIA: Member Of Parliament Attacked; DENMARK: Afghans Offered Cash To Go Home;.,The New York Times,,World Briefing: Europe,World Briefing: Europe,2002-08-28T05:00:00+0000,International,World,article,https://www.nytimes.com/2002/08/28/international/europe/world-briefing-europe.html,News,,nyt://article/b927f774-e058-53ea-8906-ebb83e084f69
Afghanistan Asylum,UNITED NATIONS., UNITED NATIONS ,UNITED NATIONS.,The New York Times,,World Briefing,World Briefing,2002-02-02T05:00:00+0000,International,World,article,https://www.nytimes.com/2002/02/02/international/world-briefing.html,News,,nyt://article/4e195a70-1ee8-5390-bdbb-d765b4166157
Afghanistan Asylum,UN refugee commissioner Rudd Lubbers expresses concern about Australia's detention centers for asylum seekers; photo (S),After protests by inmates of detention camps in Australia  the head of the United Nations refugee agency urged the government to review its policy on asylum seekers. Ruud Lubbers  the United Nations high commissioner for refugees  said the agency's guidelines ''state that the detention of asylum seekers -- especially children -- is inherently undesirable.'' The agency is also concerned about Australia's effort  including the inducement of cash payments  to send Afghan asylum seekers back home  citing the ''precarious security situation.'' Elizabeth Olson (NYT),UN refugee commissioner Rudd Lubbers expresses concern about Australia's detention centers for asylum seekers; photo (S),The New York Times,12,World Briefing | United Nations: Australia Detentions Worry Refugee Chief,World Briefing | United Nations: Australia Detentions Worry Refugee Chief,2002-02-02T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/02/02/world/world-briefing-united-nations-australia-detentions-worry-refugee-chief.html,News,,nyt://article/9282ff1e-86e0-5be0-b7b3-a9fc54faf7a5
Afghanistan Asylum,Immigrants and their advocates say Australian government's plan to offer Afghan immigrants money to return to their homeland would not be accepted by many of eligible asylum seekers and could be premature; within Australia opposition is building t...,The Australian government's plan to offer Afghan immigrants money to return to their homeland would not be accepted by many of the eligible asylum seekers and could be premature  according to the immigrants and their advocates.,Immigrants and their advocates say Australian government's plan to offer Afghan immigrants money to return to their homeland would not be accepted by many of eligible asylum seekers and could be premature; within Australia opposition is building to government's policy of mandatory detention for all unauthorized immigrants (M),The New York Times,15,Afghan Refugees Are Likely to Reject Australian Resettlement Plan,Afghan Refugees Are Likely to Reject Australian Resettlement Plan,2002-02-01T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/02/01/world/afghan-refugees-are-likely-to-reject-australian-resettlement-plan.html,News,,nyt://article/62e6d99a-c89c-5698-952a-ddae0a4fa7b9
Afghanistan Asylum,Hundreds of asylum seekers at Woomera  Australia's largest immigration detention center  say they will suspend 15-day hunger strike while negotiations continue with government over their detention; government says it has made no change in its poli...,Hundreds of asylum seekers at Woomera  Australia's largest immigration detention center  said late Wednesday that they would suspend a 15-day hunger strike while negotiations continued with the government over their detention.,Hundreds of asylum seekers at Woomera  Australia's largest immigration detention center  say they will suspend 15-day hunger strike while negotiations continue with government over their detention; government says it has made no change in its policy of detaining illegal immigrants while their visa applications are processed  sometimes for years; protests and hunger strikes continue at some other immigration detention centers; asylum seekers at Woomera  largely from Middle East  say their chief demand is to be moved out of mandatory detention; government resumes consideration of visas for Afghan immigrants  process that had been suspended after Taliban government fell (M),The New York Times,3,Asylum Seekers Detained in Australia Suspend Hunger Strike,Asylum Seekers Detained in Australia Suspend Hunger Strike,2002-01-31T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/01/31/world/asylum-seekers-detained-in-australia-suspend-hunger-strike.html,News,,nyt://article/d1d60e95-bab7-5f3e-aede-29579f9fa986
Afghanistan Asylum,Nine teenage Afghans seeking asylum are threatening to kill themselves unless they are freed from Australian camp where hundreds of illegal immigrants have been on hunger strike for two weeks to protest their detention; immigrants are protesting c...,Nine teenage Afghans seeking asylum are threatening to kill themselves unless they are freed from a camp where hundreds of illegal immigrants have been on a hunger strike for two weeks to protest their detention.,Nine teenage Afghans seeking asylum are threatening to kill themselves unless they are freed from Australian camp where hundreds of illegal immigrants have been on hunger strike for two weeks to protest their detention; immigrants are protesting conditions at camp and government's policy of detaining all illegal immigrants while their applications for asylum wind through bureaucracy  which can take years; detainees at other centers across Australia have joined protests; some have sewn their mouths shut and others have harmed themselves or attempted suicide; photo (M),The New York Times,3,Suicide Threat By 9 Refugees Held in Camp By Australia,Suicide Threat By 9 Refugees Held in Camp By Australia,2002-01-30T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/01/30/world/suicide-threat-by-9-refugees-held-in-camp-by-australia.html,News,,nyt://article/e88373b0-4ba2-5e71-8b33-560b9e5b1e53
Afghanistan Asylum,Australian government will resume processing visas for Afghan asylum seekers today (S),The government will resume processing visas for Afghan asylum seekers today  Immigration Minister Philip Ruddock said after a meeting with the government's advisory group on alien detention centers. The government stopped processing applications from illegal Afghan immigrants after the Taliban government fell. Hundreds of asylum-seekers are staging a hunger strike inside the largest center  protesting the policy of holding illegal immigrants behind barbed-wire fences during the wait for their cases to be resolved  which can last months or years. On Wednesday  three Afghan immigrants  including a 16-year-old boy  tried to hang themselves  the government said.,Australian government will resume processing visas for Afghan asylum seekers today (S),The New York Times,8,World Briefing | Asia: Australia: Policy Change On Afghan Migrants,World Briefing | Asia: Australia: Policy Change On Afghan Migrants,2002-01-25T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/01/25/world/world-briefing-asia-australia-policy-change-on-afghan-migrants.html,News,,nyt://article/2d850696-e6e9-5db4-8a76-5c49360d7f65
Afghanistan Asylum,EUROPE., EUROPE ,EUROPE.,The New York Times,,World Briefing,World Briefing,2002-01-25T05:00:00+0000,International,World,article,https://www.nytimes.com/2002/01/25/international/world-briefing.html,News,,nyt://article/936c1586-b05a-5b93-8372-c9b2e4e14b22
Afghanistan Asylum,As many as 40 Afghan asylum seekers  some of whom sewed lips together to protest being held in Australia's arid outback at one of country's largest and harshest detention camps  reportedly collapse from dehydration (S),As many as 40 Afghan asylum seekers  some of whom sewed their lips together last week to protest being held in the arid outback at one of Australia's largest and harshest detention camps  have collapsed from dehydration  according to a statement smuggled out from the detainees and received in Sydney today.,As many as 40 Afghan asylum seekers  some of whom sewed lips together to protest being held in Australia's arid outback at one of country's largest and harshest detention camps  reportedly collapse from dehydration (S),The New York Times,3,Afghans Write of Hunger Strike At Australian Detention Camp,Afghans Write of Hunger Strike At Australian Detention Camp,2002-01-22T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2002/01/22/world/afghans-write-of-hunger-strike-at-australian-detention-camp.html,News,,nyt://article/ae4d7db4-da67-57a2-9589-4d801ba4411c
Afghanistan Asylum,Australia's conservative prime minister  John Howard  won a remarkable election victory last Saturday  with a swing to his government of about 2 percent. This is the biggest swing to a sitting government since 1966 and puts him on course to become...,Australia's conservative prime minister  John Howard  won a remarkable election victory last Saturday  with a swing to his government of about 2 percent. This is the biggest swing to a sitting government since 1966 and puts him on course to become Australia's second longest serving prime minister  behind his hero Sir Robert Menzies (1949-1966).,Australia's conservative prime minister  John Howard  won a remarkable election victory last Saturday  with a swing to his government of about 2 percent. This is the biggest swing to a sitting government since 1966 and puts him on course to become Austral,International Herald Tribune,,Australians Like a Hard Line Against Boat People,Australians Like a Hard Line Against Boat People,2001-11-16T05:00:00+0000,IHT News,Opinion,article,https://www.nytimes.com/2001/11/16/opinion/IHT-australians-like-a-hard-line-against-boat-people.html,,,nyt://article/e21e1f02-7613-51de-8d41-5e1531e782ae
Afghanistan Asylum,AFRICA., AFRICA ,AFRICA.,The New York Times,,World Briefing,World Briefing,2001-09-07T05:00:00+0000,International,World,article,https://www.nytimes.com/2001/09/07/international/world-briefing.html,News,,nyt://article/8b3eb771-b8d0-52d8-9173-a4dbf7ee06a5
Afghanistan Asylum,Australia's international reputation has suffered badly because of its rejection of the more than 430  mainly Afghan  asylum seekers who had been rescued by the Norwegian freighter MV Tampa. But many Australians do not care..A year ago Australia r...,Australia's international reputation has suffered badly because of its rejection of the more than 430  mainly Afghan  asylum seekers who had been rescued by the Norwegian freighter MV Tampa. But many Australians do not care.,Australia's international reputation has suffered badly because of its rejection of the more than 430  mainly Afghan  asylum seekers who had been rescued by the Norwegian freighter MV Tampa. But many Australians do not care..A year ago Australia receiv,International Herald Tribune,,Australians Earn a Bad Reputation,Australians Earn a Bad Reputation,2001-09-05T05:00:00+0000,IHT News,Opinion,article,https://www.nytimes.com/2001/09/05/opinion/IHT-australians-earn-a-bad-reputation.html,,,nyt://article/8305535a-b291-5f33-9870-3829500dedc3
Afghanistan Asylum,British authorities charge 13 Afghans with hijacking Ariana Afghan Airlines jetliner with more that 150 people aboard during domestic flight and forcing it on odyssey across Middle East and Europe before ending saga at Stansted Airport outside Lon...,Thirteen Afghans were charged today with hijacking the airliner that spent last week parked on a remote runway at a British airport with more than 150 people aboard. The men  ranging in age from 18 to 36  could face long prison sentences if convicted.,British authorities charge 13 Afghans with hijacking Ariana Afghan Airlines jetliner with more that 150 people aboard during domestic flight and forcing it on odyssey across Middle East and Europe before ending saga at Stansted Airport outside London; 13 men  ranging in ages from 18 to 36  could face long prison sentences; British authorities question 14th suspect; say six others arrested in connection with hijacking were not charged and will join group of 73 passengers applying for political asylum (M),The New York Times,3,13 Are Charged in Hijacking of Afghan Jet as 73 Seek Asylum,13 Are Charged in Hijacking of Afghan Jet as 73 Seek Asylum,2000-02-15T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2000/02/15/world/13-are-charged-in-hijacking-of-afghan-jet-as-73-seek-asylum.html,News,,nyt://article/a76f66c5-7b35-5900-9ef7-c95289cfa928
Afghanistan Asylum,Hijacking of Afghan airliner ends peacefully at Stansted airport on Feb 10; British officials say 21 people aboard airliner have been arrested in connection with hijacking  and that some of suspects are expected to seek asylum in Britain; say 60 a...,No sooner had the government orchestrated a peaceful end to a four-day hijacking of an Afghan airliner at Stansted airport this morning than it was faced with another crisis: how to sort the hijackers from the hostages and deal with all those suddenly clamoring for political asylum in Britain.,Hijacking of Afghan airliner ends peacefully at Stansted airport on Feb 10; British officials say 21 people aboard airliner have been arrested in connection with hijacking  and that some of suspects are expected to seek asylum in Britain; say 60 adults and 14 children of 150 or so passengers have requested asylum  apparently in effort to flee repressive Taliban regime in Afghanistan; photo (M),The New York Times,1,Scores on Hijacked Afghan Plane Ask Unhappy British for Asylum,Scores on Hijacked Afghan Plane Ask Unhappy British for Asylum,2000-02-11T05:00:00+0000,Foreign Desk,World,article,https://www.nytimes.com/2000/02/11/world/scores-on-hijacked-afghan-plane-ask-unhappy-british-for-asylum.html,News,,nyt://article/7dcb6150-fe17-5754-8ab4-b62d21150ff4
Syria Asylum,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,The New York Times,,Coronavirus  Huawei in Britain  Impeachment: Your Wednesday Briefing,,2020-01-28T20:48:04+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/01/28/briefing/coronavirus-huawei-impeachment.html,briefing,,nyt://article/ca82d20b-0308-58ab-a101-ed22623f1e74
Syria Asylum,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,The New York Times,,Rohingya  Italy  Brazil Fires: Your Friday Briefing,,2019-08-23T02:55:57+0000,NYTNow,Briefing,article,https://www.nytimes.com/2019/08/22/briefing/rohingya-italian-government-brazil-fires.html,briefing,,nyt://article/e9ed2e91-030c-5d6f-8c29-e9cb2c037513
Syria Asylum,An asylum seeker was found guilty of manslaughter in the death of a German man last year in the eastern city of Chemnitz that added fuel to an anti-immigrant backlash.,BERLIN — A German court convicted a Syrian asylum seeker of manslaughter on Thursday over a stabbing last year that touched off nationalist and neo-Nazi rioting in the eastern city of Chemnitz and revealed the strength of an anti-immigrant backlash.,An asylum seeker was found guilty of manslaughter in the death of a German man last year in the eastern city of Chemnitz that added fuel to an anti-immigrant backlash.,The New York Times,5,Syrian Is Convicted in Stabbing Death That Set Off Riots in Germany,Guilty Verdict In a Killing That Fueled German Riots,2019-08-22T14:40:54+0000,Foreign,World,article,https://www.nytimes.com/2019/08/22/world/europe/chemitz-stabbing-germany-riots.html,News,,nyt://article/b2af44a5-837a-5319-869e-9ffe0f7d92fc
