term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Refugee Crisis,The bloc wants to persuade its most anti-immigrant member countries to agree to a common policy. But the future of its new plan  like many of its details  remains uncertain.,BRUSSELS — The European Union on Wednesday unveiled a new attempt to cajole reluctant member nations into participating in a common system for handling asylum seekers  offering them both cash incentives to take in refugees and quicker deportation of people who are denied asylum.,The bloc wants to persuade its most anti-immigrant member countries to agree to a common policy. But the future of its new plan  like many of its details  remains uncertain.,The New York Times,9,E.U. Offers Cash and More Deportations in New Plan for Migrants,E.U. Offers Members Cash in Plan for Migrants,2020-09-23T21:35:05+0000,Foreign,World,article,https://www.nytimes.com/2020/09/23/world/europe/eu-migrants-asylum-deportation.html,News,,nyt://article/ac32a50d-8413-516d-b0a8-9442ee8a7d98
Refugee Crisis,Years after the Syrian refugee crisis subsided  asylum seekers from other nations face even higher obstacles to enter Europe  which is more ambivalent about accepting them than ever.,LESBOS  Greece — A 31-year-old law school graduate  Masomeh Etemadi says she left Iran with her husband and two children to escape persecution as a Hazara minority. Now  she says  she doesn’t care where in Europe her family ends up. As long as it isn’t here.,Years after the Syrian refugee crisis subsided  asylum seekers from other nations face even higher obstacles to enter Europe  which is more ambivalent about accepting them than ever.,The New York Times,10,After Fire at Refugee Camp  Europe Faces a Reckoning,Migrant Fatigue Grips an Apathetic Europe,2020-09-18T18:42:52+0000,Foreign,World,article,https://www.nytimes.com/2020/09/18/world/europe/eu-moria-migrants.html,News,,nyt://article/21f6aa21-36eb-58bf-a179-e5922967d3b6
Refugee Crisis,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-,Here’s what you need to know.,The New York Times,,Coronavirus  China  Aleksei Navalny: Your Friday Briefing,,2020-09-18T02:33:02+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/09/17/briefing/coronavirus-eu-china-aleksei-navalny.html,briefing,,nyt://article/18b88fab-978c-5f34-9d1c-b315f9a9ce62
Refugee Crisis,TikTok negotiations  U.S. in Taiwan  Aleksei Navalny: Here’s what you need to know.,The World Health Organization warned of a resurgence of the coronavirus across Europe  but said that transmission could be contained by local measures rather than national lockdowns.,TikTok negotiations  U.S. in Taiwan  Aleksei Navalny: Here’s what you need to know.,The New York Times,,Your Friday Briefing,,2020-09-17T18:10:28+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/09/17/briefing/europe-virus-tiktok-deal-philippines-marine.html,briefing,,nyt://article/ce11420f-3368-58bc-9c82-cd1d2fa11496
Refugee Crisis,Conditions at the Moria center on the island of Lesbos were already dire. This year  the coronavirus compounded the misery  and then fires razed the squalid camp  leaving thousands homeless.,Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher,Conditions at the Moria center on the island of Lesbos were already dire. This year  the coronavirus compounded the misery  and then fires razed the squalid camp  leaving thousands homeless.,The New York Times,,The Forgotten Refugee Crisis in Europe,,2020-09-17T10:00:09+0000,Podcasts,Podcasts,article,https://www.nytimes.com/2020/09/17/podcasts/the-daily/moria-fire-asylum-seekers.html,News,,nyt://article/362a96a2-8017-598e-ba7b-52c5daa182e3
Refugee Crisis,Coronavirus in Europe  Israeli-Gulf deal  Aleksei Navalny: Here’s what you need to know.,Having abandoned hopes of eradicating the virus or developing a vaccine quickly  Europeans have largely gone back to work and school  leading lives as normally as possible even as the possibility of a second wave haunts the continent.,Coronavirus in Europe  Israeli-Gulf deal  Aleksei Navalny: Here’s what you need to know.,The New York Times,,Your Wednesday Briefing,,2020-09-16T02:54:47+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/09/15/briefing/your-wednesday-briefing.html,briefing,,nyt://article/51c2df1e-eccf-59e1-a019-c4963bb18f19
Refugee Crisis,At the height of the war  982 refugees fleeing the Nazis were invited by President Roosevelt to a converted military base in upstate New York.,Elfi Strauber was 11 years old when she boarded the U.S.S. Henry Gibbins in Naples  Italy. It was the summer of 1944  and she was traveling with her parents and sister  hundreds of wounded soldiers and close to a thousand other Jewish war refugees. The overcrowded troop ship was heading to New York  escorted by a convoy of warships and two transport vessels carrying Nazi prisoners of war — protection against German attack.,At the height of the war  982 refugees fleeing the Nazis were invited by President Roosevelt to a converted military base in upstate New York.,The New York Times,1,The Secret History of America’s Only WWII Refugee Camp,They Were the Lucky Ones,2020-09-11T09:00:44+0000,Metropolitan,New York,article,https://www.nytimes.com/2020/09/11/nyregion/oswego-jewish-refugees-world-war-two.html,News,,nyt://article/fe999851-f30f-50e9-b471-a9e2e9d848d2
Refugee Crisis,The ship  carrying around 300 Rohingya Muslims  had been at sea for more than six months after being denied port in Southeast Asia.,Hundreds of Rohingya Muslim refugees stranded at sea for more than six months after repeatedly being denied port by regional authorities were rescued on Monday by local fishermen in Aceh  Indonesia  officials said.,The ship  carrying around 300 Rohingya Muslims  had been at sea for more than six months after being denied port in Southeast Asia.,The New York Times,,Rohingya Refugees Rescued by Indonesian Fishermen After Months at Sea,,2020-09-07T18:55:42+0000,Foreign,World,article,https://www.nytimes.com/2020/09/07/world/asia/rohingya-refugees-boat-indonesia.html,News,,nyt://article/ecc81edd-495d-5e79-ad19-503d9d0aa423
Refugee Crisis,The largest oil reserves and one of the world’s most incompetent governments have brought authoritarianism  economic collapse and environmental disaster to the country.,AMHERST  Mass. — It has been a tough summer for Venezuela. The already ailing country  in the throes of a severe lockdown  is also experiencing a major environmental disaster. In July  a state-owned refinery began to spill oil into the Morrocoy National Park  one of the country’s most biodiverse areas. Venezuela also experienced a new political crisis. The government essentially voided several opposition parties by taking control of their executive boards.,The largest oil reserves and one of the world’s most incompetent governments have brought authoritarianism  economic collapse and environmental disaster to the country.,The New York Times,,What the Oil Spill in Venezuela Tells Us About Its Politics,,2020-09-07T09:00:11+0000,OpEd,Opinion,article,https://www.nytimes.com/2020/09/07/opinion/venezuela-oil-spill-maduro.html,Op-Ed,,nyt://article/0ce71cda-8c01-56d3-8dc4-5f875b295c1f
Refugee Crisis,“Unforgetting ” by the journalist Roberto Lovato  examines the long and bloody relationship between the United States and El Salvador through the prism of his family.,UNFORGETTINGA Memoir of Family  Migration  Gangs  and Revolution in the AmericasBy Roberto Lovato,“Unforgetting ” by the journalist Roberto Lovato  examines the long and bloody relationship between the United States and El Salvador through the prism of his family.,The New York Times,12,A Salvadoran-American Assembles the Fragments of a Violent Cultural History,‘Making the Bones Speak’,2020-09-01T09:00:07+0000,BookReview,Books,article,https://www.nytimes.com/2020/09/01/books/review/unforgetting-roberto-lovato.html,Review,,nyt://article/ef903d49-06db-53f9-9c31-4dc84a81b61e
Refugee Crisis,Germany has handled the pandemic well and its government enjoys high public trust. But the minority opposing coronavirus rules includes a far-right faction that worries officials.,BERLIN — It was shortly after 7 p.m. when a self-described healer got on stage outside the German Parliament and urged the jeering crowd of protesters to storm the building: “There is no more police!” she shouted. “We have won!”,Germany has handled the pandemic well and its government enjoys high public trust. But the minority opposing coronavirus rules includes a far-right faction that worries officials.,The New York Times,8,Far Right Germans Try to Storm Reichstag as Virus Protests Escalate,Far-Right Display in Berlin Worries German Officials,2020-08-31T20:25:38+0000,Foreign,World,article,https://www.nytimes.com/2020/08/31/world/europe/reichstag-germany-neonazi-coronavirus.html,News,,nyt://article/a4485d46-c3f9-5b9b-b3dc-7c72853092d0
Refugee Crisis,Stephenie Meyer’s retelling of “Twilight ” Isabel Wilkerson’s examination of American racism  a biography of the drug kingpin El Chapo  and plenty more.,August is often a quiet month for publishers  but this year there’s a lot to look forward to: new books from Akwaeke Emezi and Daisy Johnson; a timely re-examination of William Faulkner  with a special focus on how he wrote about race; and an astrophysicist’s (surprisingly soothing) guide to the end of the universe as we know it.,Stephenie Meyer’s retelling of “Twilight ” Isabel Wilkerson’s examination of American racism  a biography of the drug kingpin El Chapo  and plenty more.,The New York Times,3,13 Books to Watch For in August,Are You Looking For a Good Yarn?,2020-07-30T09:00:30+0000,Weekend,Books,article,https://www.nytimes.com/2020/07/30/books/new-august-books.html,News,,nyt://article/ea2faa87-f310-59d1-81a0-1f2805149e67
Refugee Crisis,Alaa Mousa  who worked in a prison  is expected to be charged with crimes against humanity. He is the third former Syrian official to be detained in Germany.,BERLIN — A Syrian doctor living in Germany has been arrested on accusations that he tortured a detainee in a secret military prison in his home country  the latest example of efforts to hold accountable former Syrian officials who entered Germany as refugees.,Alaa Mousa  who worked in a prison  is expected to be charged with crimes against humanity. He is the third former Syrian official to be detained in Germany.,The New York Times,,Syrian Doctor Accused of Torture Is Arrested in Germany,,2020-06-22T14:25:31+0000,Foreign,World,article,https://www.nytimes.com/2020/06/22/world/europe/syria-doctor-torture-germany.html,News,,nyt://article/9fb5af77-af88-538f-b992-6f866b24c44b
Refugee Crisis,Friday: A historian talks about the roots of the holiday and its importance in this moment. Also: The history of Bruce’s Beach.,Good morning.,Friday: A historian talks about the roots of the holiday and its importance in this moment. Also: The history of Bruce’s Beach.,The New York Times,,Celebrating Juneteenth in California,,2020-06-19T13:03:28+0000,National,U.S.,article,https://www.nytimes.com/2020/06/19/us/ca-juneteenth-celebration.html,briefing,,nyt://article/02c1df39-43cc-521e-9828-c443c428aa76
Refugee Crisis,In her latest book  “The Next Great Migration ” the science journalist Sonia Shah traces the global movements of humans today to age-old patterns in other species.,THE NEXT GREAT MIGRATIONThe Beauty and Terror of Life on the Move By Sonia Shah,In her latest book  “The Next Great Migration ” the science journalist Sonia Shah traces the global movements of humans today to age-old patterns in other species.,The New York Times,,Birds Do It. People  Too. Is Migration Simply Natural for All Species?,Moving On,2020-06-02T09:00:09+0000,BookReview,Books,article,https://www.nytimes.com/2020/06/02/books/review/next-great-migration-sonia-shah.html,Review,,nyt://article/2e5d2f1b-782e-5192-be17-d5614ff2d9b3
Refugee Crisis,The Swiss city is best known for bankers  watchmakers and U.N. officials. But the virus has forced thousands from Geneva’s underclass to line up for hours for food aid.,Patrick Kingsley  an international correspondent  and Laetitia Vancon  a photojournalist  are driving more than 3 700 miles to explore the reopening of the European continent after coronavirus lockdowns. Read all their dispatches.,The Swiss city is best known for bankers  watchmakers and U.N. officials. But the virus has forced thousands from Geneva’s underclass to line up for hours for food aid.,The New York Times,6,A Mile-Long Line for Free Food in Geneva  One of World’s Richest Cities,Geneva Exits Lockdown  But Its Poorest Residents Still Face Dire Hardship,2020-05-30T09:00:14+0000,Foreign,World,article,https://www.nytimes.com/2020/05/30/world/europe/geneva-coronavirus-reopening.html,News,,nyt://article/ecbc8090-6531-5df2-af53-22d607873e7e
Refugee Crisis,Prime Minister Viktor Orban’s government has shifted more than 300 asylum applicants out of detention in fenced “transit zones.”,BUDAPEST — The government of Hungary has moved nearly 300 asylum seekers and begun closing detention sites along its southern border after the European Union’s highest court ruled that it was holding migrants unlawfully.,Prime Minister Viktor Orban’s government has shifted more than 300 asylum applicants out of detention in fenced “transit zones.”,The New York Times,18,Hungary Moves to Close Border Camps After E.U. Court Ruling,Hungary  Bowing to E.U.’s Highest Court  Shuts Detention Sites Along the Border,2020-05-22T16:01:55+0000,Foreign,World,article,https://www.nytimes.com/2020/05/22/world/europe/hungary-migrant-camps.html,News,,nyt://article/52daec45-29d8-5b0d-a386-d998e3598b2f
Refugee Crisis,In their final “Trip” movie  Steve Coogan and Rob Brydon retrace Odysseus’ journey with laughs  vocal imitations and nonsense.,The history of movies is also a history of armchair tourism  starting in the 19th century with the Lumière Brothers’ one-minute tours of the world. An obvious attraction of Michael Winterbottom’s four  rather lengthier “Trip” movies with Steve Coogan and Rob Brydon is that they give you the opportunity to ooh and ahh at striking sites  much as you would on a cruise but without paying full freight and elbowing through hordes of strangers. At their best  the movies offer appealing virtual getaways.,In their final “Trip” movie  Steve Coogan and Rob Brydon retrace Odysseus’ journey with laughs  vocal imitations and nonsense.,The New York Times,5,‘The Trip to Greece’ Review: Men of Twists  Turns and Familiar Jokes,En Route With a Hollow Trojan Nag,2020-05-20T17:50:03+0000,Weekend,Movies,article,https://www.nytimes.com/2020/05/20/movies/the-trip-to-greece-review.html,Review,,nyt://article/a486f3c7-95ef-54c3-abfd-98399f7c5192
Refugee Crisis,The W.H.O. agreed to investigate the world’s pandemic response. A 100-year-old British World War II veteran who raised millions has been knighted.,This briefing has ended. Follow live global updates on the coronavirus here. ,The W.H.O. agreed to investigate the world’s pandemic response. A 100-year-old British World War II veteran who raised millions has been knighted.,The New York Times,,Virus Forces Cambridge to Hold Most Classes Online Next Year,,2020-05-19T04:06:04+0000,Foreign,World,article,https://www.nytimes.com/2020/05/19/world/coronavirus-news.html,News,,nyt://article/3c8370e8-0d6d-588c-98ee-3fba79ed7f6c
Refugee Crisis,The pandemic marginalized the far right  as Germans rallied behind Angela Merkel. But the reopening has brought them back  and they are preparing to seize new opportunities.,BERLIN — Outside Germany’s Parliament building  a vegan celebrity cook grabbed the mic and shouted that he was “ready to die” to stop self-serving elites from using the pandemic to topple the world order. Some distance away  a group of women discussed how Bill Gates was plotting to force immunization on the population. Youngsters sporting cardboard cutouts of the German constitution chanted: “End the corona dictatorship!” Few wore masks  and those that did came with slogans like “Merkel’s muzzle.”,The pandemic marginalized the far right  as Germans rallied behind Angela Merkel. But the reopening has brought them back  and they are preparing to seize new opportunities.,The New York Times,7,Germany’s Coronavirus Protests: Anti-Vaxxers  Anticapitalists  Neo-Nazis,Far Right Grows Louder  Emboldened by a Crisis,2020-05-18T20:37:51+0000,Foreign,World,article,https://www.nytimes.com/2020/05/18/world/europe/coronavirus-germany-far-right.html,News,,nyt://article/aa97524e-6042-5ee7-8be0-f3951d005418
Refugee Crisis,In Lebanon’s capital  it’s a point of pride that the party never stopped  even during war and protests. But will the dancing and drinking come back after the coronavirus lockdown?,BEIRUT  Lebanon — When the disruptive threat of the coronavirus first came for Beirut  I was  appropriately enough  in a local bar.,In Lebanon’s capital  it’s a point of pride that the party never stopped  even during war and protests. But will the dancing and drinking come back after the coronavirus lockdown?,The New York Times,15,Beirut’s Nightlife Survived Civil War. Can It Withstand Pandemic?,Virus Does What War Couldn’t: Cancel Beirut’s Nightlife,2020-05-03T16:21:56+0000,Foreign,World,article,https://www.nytimes.com/2020/05/03/world/middleeast/beirut-lebanon-nightlife-coronavirus.html,News,,nyt://article/34cc11b2-b291-5d9b-90a7-82d138622c80
Refugee Crisis,At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week  rights groups that had been tracking the boats lost sight of them.,BANGKOK — Somewhere in turquoise waters  perhaps where the Bay of Bengal meets the Andaman Sea  wooden boats filled with Rohingya refugees are listing  adrift now for more than 10 weeks.,At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week  rights groups that had been tracking the boats lost sight of them.,The New York Times,18,Hundreds of Rohingya Refugees Stuck at Sea With ‘Zero Hope’,Hope Fades  For Hundreds Of Rohingya  Stuck at Sea,2020-05-01T04:39:21+0000,Foreign,World,article,https://www.nytimes.com/2020/05/01/world/asia/rohingya-muslim-refugee-crisis.html,News,,nyt://article/dd87e244-2bcc-517e-9356-8457a77a6677
Refugee Crisis,A prequel to “The Hunger Games ” a love letter to French cooking  a novel by Curtis Sittenfeld that reimagines Hillary Clinton’s life and much more.,Was the Arab Spring a failure? There is a sense that the protests across the Middle East in 2011 failed to bring about any enduring  positive change  except in Tunisia. But Feldman  a Harvard professor  argues that the uprisings marked a significant cultural and political shift empowering people in the region — even if they brought about tragic outcomes in some countries  including the Syrian war and the rise of ISIS.,A prequel to “The Hunger Games ” a love letter to French cooking  a novel by Curtis Sittenfeld that reimagines Hillary Clinton’s life and much more.,The New York Times,14,11 Books to Watch For in May,11 New Books We’re Anticipating,2020-04-23T09:00:26+0000,Weekend,Arts,article,https://www.nytimes.com/2020/04/23/arts/new-may-books.html,News,,nyt://article/fced69cb-60d6-50ec-aecb-b3a2a0fe76a0
Refugee Crisis,Its rich north and poorer south need solidarity in response to an unprecedented crisis.,The European Union is ill suited for crisis. Its 27 members are happy to feed at the common trough in sunny times  but storms tend to turn them into squabbling rivals. The financial collapse of 2008 and the following refugee crisis are memorable for their bitter recriminations and disunity. It’s all happening again over Covid-19  this time amplified by fear and death on a continent struggling with half of the world’s 1.4 million confirmed cases.,Its rich north and poorer south need solidarity in response to an unprecedented crisis.,The New York Times,26,Europe Poised to Repeat Austerity Mistakes in Coronavirus Response,Europe Is Poised to Repeat Mistakes,2020-04-08T23:19:55+0000,Editorial,Opinion,article,https://www.nytimes.com/2020/04/08/opinion/europe-coronavirus.html,Editorial,,nyt://article/e789831b-2703-5fcb-8378-7492bf12ceb1
Refugee Crisis,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know.,The New York Times,,Coronavirus  U.S. Unemployment  Policing: Your Friday Briefing,,2020-04-03T04:25:30+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/04/03/briefing/coronavirus-us-unemployment-policing.html,briefing,,nyt://article/9087f281-db50-5b57-af1a-4b050002dff1
Refugee Crisis,Here’s what you need to know.,In Australia  the authorities have threatened people sitting alone drinking coffee with six months of jail; in the Philippines  President Rodrigo Duterte ordered the police to shoot anyone who “causes commotion” after protesters demanded food.,Here’s what you need to know.,The New York Times,,Coronavirus  Global Tourism  India’s Free Press: Your Friday Briefing,,2020-04-02T20:40:39+0000,NYTNow,Briefing,article,https://www.nytimes.com/2020/04/02/briefing/coronavirus-crackdowns-policing-duterte.html,briefing,,nyt://article/2af72c41-746a-5a1d-8d3e-9fa4aacbd110
Refugee Crisis,Poland  Hungary and the Czech Republic failed to live up to their end of an agreement to distribute 160 000 asylum seekers who had arrived in Greece and Italy  the court said.,BRUSSELS — The European Court of Justice ruled on Thursday that Poland  Hungary and the Czech Republic had violated their obligations by refusing to take in their fair share of asylum seekers at the height of the refugee crisis in 2015.,Poland  Hungary and the Czech Republic failed to live up to their end of an agreement to distribute 160 000 asylum seekers who had arrived in Greece and Italy  the court said.,The New York Times,18,E.U. Court Rules 3 Countries Violated Deal on Refugee Quotas,3 Countries Violated Deal on Taking In Refugees  E.U. Court Says,2020-04-02T10:07:56+0000,Foreign,World,article,https://www.nytimes.com/2020/04/02/world/europe/european-court-refugees-hungary-poland-czech-republic.html,News,,nyt://article/ba22ed1e-b461-5c13-86a5-952b01a00492
Refugee Crisis,A few of the hundreds of thousands displaced by the fighting are trickling back. But few  if any  say they believe the quiet will last.,BALYOUN  Syria — Families sifted through the bombed-out ruins of their shops and homes on Thursday in the front-line Syrian town of Balyoun  using a fragile cease-fire between Russia and Turkey to retrieve their belongings but voicing little trust that it would last.,A few of the hundreds of thousands displaced by the fighting are trickling back. But few  if any  say they believe the quiet will last.,The New York Times,14,With Cease-Fire in Place  Syrians Return for Belongings  but Not to Stay,Refugees Return  but Only to Get Belongings,2020-03-16T16:15:05+0000,Foreign,World,article,https://www.nytimes.com/2020/03/16/world/middleeast/syria-ceasefire.html,News,,nyt://article/fc997bd2-58b3-57b9-8740-94ea379042e0
Refugee Crisis,A Turkish court sentenced each man to 125 years in jail for the death of five refugees  including Alan Kurdi  2  whose body washed up on a beach.,Three Turkish men were sentenced this week to 125 years in jail for their part in the drowning of a boy whose death in 2015 became a worldwide symbol of the suffering caused by the Syrian war and the European refugee crisis it triggered.,A Turkish court sentenced each man to 125 years in jail for the death of five refugees  including Alan Kurdi  2  whose body washed up on a beach.,The New York Times,,3 Men Sentenced to 125 Years Each in Drowning of Syrian Refugee Boy,,2020-03-13T11:35:01+0000,Foreign,World,article,https://www.nytimes.com/2020/03/13/world/middleeast/alan-kurdi-death-trial.html,News,,nyt://article/80a8e12a-7261-5987-aea5-3c8a2af4c343
Refugee Crisis,The goal of an exhibition at the American Visionary Art Museum in Baltimore is to underscore the danger of demonizing any human being as an undesirable “other.”,This article is part of our latest special report on Museums  which focuses on the intersection of art and politics.,The goal of an exhibition at the American Visionary Art Museum in Baltimore is to underscore the danger of demonizing any human being as an undesirable “other.”,The New York Times,22,Visualizing the Refugee Experience,Visualizing the Refugee Experience,2020-03-11T13:43:42+0000,SpecialSections,Arts,article,https://www.nytimes.com/2020/03/11/arts/visualizing-refugee-experience.html,News,,nyt://article/d81be502-2ddf-5f1c-ace4-c4b6c9b5ef41
