term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Afghanistan Refugee,The Taliban stand on the brink of realizing their most fervent desire: U.S. troops leaving Afghanistan. They have given up little of their extremist ideology to do it.,ALINGAR  Afghanistan — Under the shade of a mulberry tree  near grave sites dotted with Taliban flags  a top insurgent military leader in eastern Afghanistan acknowledged that the group had suffered devastating losses from American strikes and government operations over the past decade.,The Taliban stand on the brink of realizing their most fervent desire: U.S. troops leaving Afghanistan. They have given up little of their extremist ideology to do it.,The New York Times,1,How the Taliban Outlasted a Superpower: Tenacity and Carnage,After 18 Years of War  Taliban Sense Victory Over a Superpower,2020-05-26T09:00:24+0000,Foreign,World,article,https://www.nytimes.com/2020/05/26/world/asia/taliban-afghanistan-war.html,News,,nyt://article/5818cb4e-7049-5a29-a20f-394667f696bf
Afghanistan Refugee,President Trump’s executive order granting local officials veto power over refugee resettlement has divided communities and left immigrants feeling unwanted.,EAST LONGMEADOW  Mass. — In a gray-walled  institutional hall usually reserved for prosaic debates over traffic and town budgets  Mohamoud Abdirahman rose from the audience last month and approached a panel of five town councilmen sitting in judgment.,President Trump’s executive order granting local officials veto power over refugee resettlement has divided communities and left immigrants feeling unwanted.,The New York Times,22,Trump Threw Weighty Refugee Decisions to Local Government  With Painful Results,It’s Now Up to Municipalities: Accept Refugees or Not?,2020-02-01T18:03:14+0000,Washington,World,article,https://www.nytimes.com/2020/02/01/world/africa/trump-refugees-local-governments.html,News,,nyt://article/5fcfe61c-28c1-5006-a8a5-2f034d11ef1e
Afghanistan Refugee,Afghan officials fear that an escalation between Iran and the United States could hurt chances for peace with the Taliban during a critical time.,In the days after a United States drone strike killed Iran’s top intelligence and military operative  President Ashraf Ghani of Afghanistan scrambled to keep his country out of a cycle of escalation between the two powers. ,Afghan officials fear that an escalation between Iran and the United States could hurt chances for peace with the Taliban during a critical time.,The New York Times,7,As Iran and U.S. Trade Blows  Afghanistan Sweats Between the 2 Powers,Washington-Tehran Friction Casts Spotlight on Afghanistan’s Vulnerabilities,2020-01-08T09:32:09+0000,Foreign,World,article,https://www.nytimes.com/2020/01/08/world/asia/afghanistan-iran-soleimani.html,News,,nyt://article/cd131485-66fa-582c-86ae-e2f1d74030b6
Afghanistan Refugee,Tetsu Nakamura  73  arrived in Afghanistan in the 1980s to treat leprosy. But he changed many more lives with the canal-building techniques he brought from his native Japan.,JALALABAD  Afghanistan — The people he helped called him “Uncle Murad.”,Tetsu Nakamura  73  arrived in Afghanistan in the 1980s to treat leprosy. But he changed many more lives with the canal-building techniques he brought from his native Japan.,The New York Times,4,‘He Showed Us Life’: Japanese Doctor Who Brought Water to Afghans Is Killed,Attack in Afghanistan  Kills Japanese Doctor  Who ‘Showed Us Life’,2019-12-04T16:22:39+0000,Foreign,World,article,https://www.nytimes.com/2019/12/04/world/asia/afghanistan-tetsu-nakamura-dead.html,News,,nyt://article/1ba79647-01d4-51fc-825c-b3d8245d633c
Afghanistan Refugee,A journalist explains how the biggest migration in human history is helping to fuel the erosion of American cultural dominance.,“The Bold and the Beautiful ” a staple of American daytime television for more than 30 years  peaked in its worldwide viewership at 26.2 million in 2008. A few years later  “Magnificent Century ” a Turkish drama  was broadcast to 200 million people. That wide gulf in audience is one of the focuses of the book “New Kings of the World ” about how American soft power is being eclipsed around the globe.,A journalist explains how the biggest migration in human history is helping to fuel the erosion of American cultural dominance.,The New York Times,,Fatima Bhutto on the Surge of Bollywood  K-Pop and Turkish TV,,2019-11-15T16:00:09+0000,National,U.S.,article,https://www.nytimes.com/2019/11/15/us/fatima-bhutto-new-kings-interview.html,News,,nyt://article/eb1aa094-fce9-53b7-abb2-e399fc765290
Afghanistan Refugee,Afghans have endured four decades of conflict  with little prospect of peace. This is the story of the last 18 years since the American invasion  as told by the men and women who’ve lived it.,Afghans have endured four decades of conflict  with little prospect of peace. This is the story of the last 18 years since the American invasion  as told by the men and women who’ve lived it.,Afghans have endured four decades of conflict  with little prospect of peace. This is the story of the last 18 years since the American invasion  as told by the men and women who’ve lived it.,The New York Times,,‘We Are Inside the Fire’: An Oral History of the War in Afghanistan,,2019-10-06T18:18:22+0000,Magazine,Magazine,multimedia,https://www.nytimes.com/interactive/2019/10/06/magazine/afghanistan-war-oral-history.html,Interactive Feature,,nyt://interactive/0a5583c7-5d04-56f8-b112-bebd7b0d45ef
Afghanistan Refugee,Even the flags on the graves of the Afghans killed in the long war announce competing allegiances.,In Deh Naw — my parents’ home village in Logar Province of Afghanistan — makeshift graves and markers for the dead lay scattered amid orchards  in between fields  or atop hills  a testament to the decades of war. Sometimes  the graves are marked by small slabs of stone with a name or a prayer carved onto it  but just as often  the names of the dead went unrecorded  their lives only traded in whispers. Open secrets permeate these graveyards. Buried atrocities from the Soviet occupation  the Afghan civil wars  and the seemingly unending American occupation.,Even the flags on the graves of the Afghans killed in the long war announce competing allegiances.,The New York Times,,The Graves of Afghanistan Speak,,2019-09-21T14:06:21+0000,OpEd,Opinion,article,https://www.nytimes.com/2019/09/21/opinion/afghanistan-war-peace.html,Op-Ed,,nyt://article/7d5df815-674c-5fff-b7f9-2aae59210efc
Afghanistan Refugee,The rate of arrivals is still just a fraction of the 2015 peak  but comes as Turkey threatens to allow a wave of migrants to pass through Turkey to Europe.,SKALA SIKAMINEAS  Greece — The first dinghy landed about 5:45 p.m.  on a rocky shore near a remote Greek fishing village. After the thirteenth arrived about 35 minutes later  547 migrants had landed  in broad daylight  within a few yards of each other on the Greek island of Lesbos.,The rate of arrivals is still just a fraction of the 2015 peak  but comes as Turkey threatens to allow a wave of migrants to pass through Turkey to Europe.,The New York Times,12,Migration to Greece Is Rising  as Erdogan Warns of Still More,Migration to Greece Rises  and Erdogan Threatens ‘to Open the Gates’,2019-09-11T09:01:51+0000,Foreign,World,article,https://www.nytimes.com/2019/09/11/world/europe/greece-migrants-erdogan-lesbos-syria.html,News,,nyt://article/7fb7a317-a2f5-5867-b77d-765ce708688e
Afghanistan Refugee,The man was sentenced to life in prison for killing the 14-year-old in a case that fueled outrage  particularly on the far right  at the handling of asylum seekers.,BERLIN — A German court convicted an Iraqi man on Wednesday of raping and murdering a teenage girl  and sentenced him to life in prison  a year after the case fueled far-right protests across the country and prompted anger at the government’s handling of rejected asylum claims.,The man was sentenced to life in prison for killing the 14-year-old in a case that fueled outrage  particularly on the far right  at the handling of asylum seekers.,The New York Times,11,Iraqi Refugee Is Convicted in Germany of Raping and Murdering Teenage Girl,Iraqi Gets Life Sentence in Germany,2019-07-10T09:56:02+0000,Foreign,World,article,https://www.nytimes.com/2019/07/10/world/europe/iraqi-refugee-germany-rape-murder.html,News,,nyt://article/e1280dfc-7583-5bf6-926b-69a96ef9b297
Afghanistan Refugee,In “Notes on a Shipwreck ” the Italian journalist Davide Enia bears witness to the suffering of migrants fleeing Africa for the island of Lampedusa.,NOTES ON A SHIPWRECK By Davide Enia Translated by Antony Shugaar249 pp. Other Press. Paper  $16.99.,In “Notes on a Shipwreck ” the Italian journalist Davide Enia bears witness to the suffering of migrants fleeing Africa for the island of Lampedusa.,The New York Times,14,The Life-or-Death Struggle of Refugees Braving the Mediterranean Crossing,Island of the Lost,2019-02-19T19:00:04+0000,BookReview,Books,article,https://www.nytimes.com/2019/02/19/books/review/davide-enia-notes-on-shipwreck.html,Review,,nyt://article/70d57ebe-f3e1-5689-8644-4648a97a0dd3
Afghanistan Refugee,Our 52 Places Traveler thought she could rely on downloads as armor against the unknowns of global travel. That’s not how it went down.,I can’t remember what country I was flying over  or even what month it was  just that the “Mamma Mia!” sequel  “Here We Go Again ” was playing on the back of the airplane seat in front of me and I was sobbing like I had never sobbed before.,Our 52 Places Traveler thought she could rely on downloads as armor against the unknowns of global travel. That’s not how it went down.,The New York Times,1,A Pop Culture Shock After the Trip of a Lifetime,Recalibrating An Inner GPS,2019-02-15T09:00:04+0000,Arts&Leisure,Movies,article,https://www.nytimes.com/2019/02/15/movies/52-places-traveler-movies.html,News,,nyt://article/e17c9909-1a61-51f7-9303-8c696cc1c018
Afghanistan Refugee,From magnificent entrances to “Seasons of Love” at the Tony Awards  the performances and scenes that had us cheering for more.,We escaped to Margaritaville and made way for Glenda Jackson  got mad as hell all over again and learned to love a Malfoy. The year in theater had many riches and no shortage of surprise. Now that our chief critics have weighed in  it’s time for other New York Times writers and editors who spend lots of time in the dark to illuminate the moments that brought us joy and laughter  shock and awe. And the beat.,From magnificent entrances to “Seasons of Love” at the Tony Awards  the performances and scenes that had us cheering for more.,The New York Times,5,The Unforgettable Theater Moments of 2018,Moments That Made Us Cheer,2018-12-21T15:48:38+0000,Arts&Leisure,Theater,article,https://www.nytimes.com/2018/12/21/theater/theater-moments-of-2018.html,News,,nyt://article/228acc2e-5785-5656-b02e-9ef88d298d7d
Afghanistan Refugee,Mohibullah Rahmati  known as Mo  serves fortifying mantu dumplings and versions of korma  recipes that honor his family’s heritage.,Two years ago  Mohibullah Rahmati  known as Mo  bought a mail truck at a government auction  hoping to equip it with a kitchen and bring his mother’s Afghan recipes to the streets of New York.,Mohibullah Rahmati  known as Mo  serves fortifying mantu dumplings and versions of korma  recipes that honor his family’s heritage.,The New York Times,5,At Nansense  Afghan Comfort Comes From an Unlikely Place: a Former Mail Truck,The Mail? No  Afghan Comfort Food,2018-11-29T17:26:30+0000,Dining,Food,article,https://www.nytimes.com/2018/11/29/dining/nansense-food-truck-review.html,Review,,nyt://article/f8ef639c-3e17-5f21-84ed-64b878e7457f
Afghanistan Refugee,Horst Seehofer’s announcement that he would step down as head of his Bavarian conservative party comes after a similar decision by Chancellor Angela Merkel.,BERLIN — Horst Seehofer  the defiant German interior minister whose provocations have undermined Chancellor Angela Merkel’s government and eroded support for his own conservative party  said Monday that he would step down as head of the Christian Social Union  a key part of Ms. Merkel’s governing coalition.,Horst Seehofer’s announcement that he would step down as head of his Bavarian conservative party comes after a similar decision by Chancellor Angela Merkel.,The New York Times,6,Merkel Antagonist Quits Party Post but Stays On as Interior Minister,German Interior Minister Quits Post as Party Leader,2018-11-12T17:52:57+0000,Foreign,World,article,https://www.nytimes.com/2018/11/12/world/europe/seehofer-merkel-germany-conservatives.html,News,,nyt://article/42a934e5-a3a3-582d-b4d9-41b339e66a8a
Afghanistan Refugee,Trauma  psychosis and suicide attempts have become common occurrences at Moria  a Greek island camp  where aid groups warn of a mental health crisis.,MORIA  Greece — He survived torture in Congo  and a perilous boat journey from Turkey. But Michael Tamba  a former Congolese political prisoner  came closest to death only after he had supposedly found sanctuary at Europe’s biggest refugee camp.,Trauma  psychosis and suicide attempts have become common occurrences at Moria  a Greek island camp  where aid groups warn of a mental health crisis.,The New York Times,1,‘Better to Drown’: A Greek Refugee Camp’s Epidemic of Misery,‘Better to Drown’: A Greek Refugee Camp’s Epidemic of Despair,2018-10-03T02:30:10+0000,Foreign,World,article,https://www.nytimes.com/2018/10/02/world/europe/greece-lesbos-moria-refugees.html,News,,nyt://article/b13f1c4b-915e-5da4-ae85-f9845a76f5b0
Afghanistan Refugee,Here’s what you need to know to start your day.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know to start your day.,The New York Times,,Your Wednesday News Briefing: China  Myanmar  Elon Musk,,2018-09-18T20:40:26+0000,NYTNow,Briefing,article,https://www.nytimes.com/2018/09/18/briefing/asia-wednesday-news-briefing.html,briefing,,nyt://article/c0424176-d13c-5bbe-b6d7-b03fa8776b54
Afghanistan Refugee,With the latest “Mission: Impossible” in theaters  a previous installment airs on FX. And “The Breadwinner” revolves around a young Afghan refugee.,With the latest “Mission: Impossible” in theaters  a previous installment airs on FX. And “The Breadwinner” revolves around a young Afghan refugee.,With the latest “Mission: Impossible” in theaters  a previous installment airs on FX. And “The Breadwinner” revolves around a young Afghan refugee.,The New York Times,6,What’s on TV Saturday: ‘Mission: Impossible — Ghost Protocol’ and ‘The Breadwinner’,What’s On Saturday,2018-07-28T05:00:03+0000,Culture,Arts,article,https://www.nytimes.com/2018/07/28/arts/television/whats-on-tv-saturday-mission-impossible-ghost-protocol-and-the-breadwinner.html,Schedule,,nyt://article/eecfda23-a0d5-55a9-af20-7d5849647a65
Afghanistan Refugee,Elin Ersson’s live-streamed protest against the deportation of an Afghan asylum seeker focused attention on the forced return of asylum seekers.,OSTERSUND  Sweden — When she boarded the plane  Elin Ersson had no intention of flying. Her goal was to ensure another passenger disembarked to avoid what she feared would be his certain death.,Elin Ersson’s live-streamed protest against the deportation of an Afghan asylum seeker focused attention on the forced return of asylum seekers.,The New York Times,6,Act of Defiance Casts Harsh Light on Europe’s Deportations of Asylum Seekers,Act of Defiance  Caught on Tape  Stirs a Debate on Deportation,2018-07-27T22:35:58+0000,Foreign,World,article,https://www.nytimes.com/2018/07/27/world/europe/swedish-protest-afghan-deportation-policy.html,News,,nyt://article/982774db-3383-5593-8797-498d4852d815
Afghanistan Refugee,Prime Minister Viktor Orban campaigned on a nationalist  anti-immigrant platform. Providing help to those who enter the country illegally will now be punishable by up to a year in jail.,The Hungarian Parliament approved a package of laws on Wednesday that criminalizes the act of helping undocumented migrants and creates a parallel court system that some fear will be used for politically sensitive cases  accelerating efforts by Prime Minister Viktor Orban to transform the country into what he calls an “illiberal democracy.”,Prime Minister Viktor Orban campaigned on a nationalist  anti-immigrant platform. Providing help to those who enter the country illegally will now be punishable by up to a year in jail.,The New York Times,6,Hungary Criminalizes Aiding Illegal Immigrants,Hungary Passes ‘Stop Soros’ Law  Making It a Crime to Give Aid to Migrants,2018-06-20T15:07:16+0000,Foreign,World,article,https://www.nytimes.com/2018/06/20/world/europe/hungary-stop-soros-law.html,News,,nyt://article/422582cc-d192-5b79-8fb0-8c6a8e2dec29
Afghanistan Refugee,Most of the world’s refugees are from five countries  according to the U.N. refugee agency. Here is a look at the conflicts driving the global refugee crisis.,South Sudan. Syria. Afghanistan. Myanmar. Somalia.,Most of the world’s refugees are from five countries  according to the U.N. refugee agency. Here is a look at the conflicts driving the global refugee crisis.,The New York Times,9,The Five Conflicts Driving the Bulk of the World’s Refugee Crisis ,Humanity on the Move: 5 Conflicts That Drive the Global Refugee Crisis,2018-06-19T23:11:19+0000,Foreign,World,article,https://www.nytimes.com/2018/06/19/world/five-conflicts-driving-refugees.html,News,,nyt://article/7be3ee44-7cb9-51b6-96b0-dab7d4353d4d
Afghanistan Refugee,An apostle of peaceful protest  he inspired insurrections against dictators around the world and the “occupy” movement in the United States.,Gene Sharp  a preacher’s son whose own gospel of nonviolent struggle inspired velvet revolutions that toppled dictators on four continents  died on Jan. 28 at his home in Boston. He was 90.,An apostle of peaceful protest  he inspired insurrections against dictators around the world and the “occupy” movement in the United States.,The New York Times,22,Gene Sharp  Global Guru of Nonviolent Resistance  Dies at 90,Gene Sharp  Guru of Nonviolent Protest  Dies at 90,2018-02-03T00:37:55+0000,Obits,Obituaries,article,https://www.nytimes.com/2018/02/02/obituaries/gene-sharp-global-guru-of-nonviolent-resistance-dies-at-90.html,Obituary (Obit),,nyt://article/394af2d3-95ec-56b4-8dea-070f49b45e9c
Afghanistan Refugee,Since assuming what may be the most powerful position in Pakistan  Gen. Qamar Javed Bajwa has left no doubt about who is in charge  even as he deals with a freeze in aid from the Trump administration.,ISLAMABAD  Pakistan — The new chief of Pakistan’s army had a tough act to follow when he took the baton of command in November 2016. His predecessor had been a widely popular figure  credited with dramatically curbing both attacks by militants against civilians and political corruption and extortion. There was apprehension that the army’s next leader could never match these successes and might struggle to exert control.,Since assuming what may be the most powerful position in Pakistan  Gen. Qamar Javed Bajwa has left no doubt about who is in charge  even as he deals with a freeze in aid from the Trump administration.,The New York Times,8,Pakistan Army ‘Has Greatly Increased Its Clout’ Under New Chief,A Year Into His Job  Pakistan’s Army Chief Leaves No Doubt Who Is in Charge,2018-01-28T07:00:24+0000,Foreign,World,article,https://www.nytimes.com/2018/01/28/world/asia/pakistan-army-qamar-javed-bajwa.html,News,,nyt://article/c2c1dd3e-99ff-54f4-bde9-bbc61835fb8d
Afghanistan Refugee,The nearly 14 000 refugees in Indonesia  many from the Middle East and Africa  were recently told by the United Nations that it is unlikely they will ever be resettled elsewhere.,JAKARTA  Indonesia — Ibrahim Adam fled armed conflict in his home region of Darfur  Sudan  in 2011  and ended up seeking asylum in Indonesia  hoping to be eventually resettled in Australia or another Western country so he could resume his dream of being an economist.,The nearly 14 000 refugees in Indonesia  many from the Middle East and Africa  were recently told by the United Nations that it is unlikely they will ever be resettled elsewhere.,The New York Times,10,Refugees in Indonesia Hoped for Brief Stay. Many May Be Stuck for Life.,Refugees Who Saw Indonesia as a Detour May Be Stuck for Life,2018-01-26T18:23:26+0000,Foreign,World,article,https://www.nytimes.com/2018/01/26/world/asia/indonesia-refugees-united-nations.html,News,,nyt://article/794c46bf-03c2-55d6-8636-ba6a6367a753
Afghanistan Refugee,United States officials rejected a claim by Pakistan that the strike had targeted an Afghan refugee camp.,ISLAMABAD  Pakistan — One day after an American drone strike killed a leader of the militant Haqqani network in northwestern Pakistan  United States officials on Thursday rejected a claim by Pakistan that the strike had targeted an Afghan refugee camp.,United States officials rejected a claim by Pakistan that the strike had targeted an Afghan refugee camp.,The New York Times,6,U.S. and Pakistan Give Conflicting Accounts of Drone Strike,Dispute Over Drone Strike in Pakistan,2018-01-25T19:00:54+0000,Foreign,World,article,https://www.nytimes.com/2018/01/25/world/asia/us-pakistan-drone.html,News,,nyt://article/ed634220-397a-5e56-bd5d-5b3613285290
Afghanistan Refugee,The attack in northwestern Pakistan killed three members of the militant Haqqani network  but the government condemned it as a violation of the country’s sovereignty.,ISLAMABAD  Pakistan — A leader of the militant Haqqani network and two of his aides were killed Wednesday in an American drone strike in northwestern Pakistan  an attack that was denounced by the Pakistani government.,The attack in northwestern Pakistan killed three members of the militant Haqqani network  but the government condemned it as a violation of the country’s sovereignty.,The New York Times,10,U.S. Drone Strike Kills Militants in Pakistan but Angers Its Government,U.S. Strike  Kills Militants  In Pakistan,2018-01-24T19:29:08+0000,Foreign,World,article,https://www.nytimes.com/2018/01/24/world/asia/pakistan-us-drone-haqqani-network.html,News,,nyt://article/4927fc4a-90de-5782-8bb3-21951e7e10c1
Afghanistan Refugee,Three American presidents have struggled with conflicting priorities in Islamabad  but President Trump’s decision to suspend security aid to Pakistan could tilt the Afghanistan conflict.,Afghan officials have pleaded with three American presidents to reconsider their support for Pakistan  which was both receiving billions of dollars in American aid and harboring the leaders of a Taliban insurgency that the United States has struggled to defeat.,Three American presidents have struggled with conflicting priorities in Islamabad  but President Trump’s decision to suspend security aid to Pakistan could tilt the Afghanistan conflict.,The New York Times,9,Cutting Off Pakistan  U.S. Takes Gamble in Complex Afghan War,U.S. Cuts Off Pakistan   Gambling in Afghan War,2018-01-05T11:10:22+0000,Foreign,World,article,https://www.nytimes.com/2018/01/05/world/asia/pakistan-aid-afghan-war.html,News,,nyt://article/f6ca0962-2d20-5853-82f4-00ee79a945bb
Afghanistan Refugee,Pakistan brushed off President Trump’s accusations of “deceit” in accepting billions while giving “haven to terrorists.” The remark  it said  was of “no importance.”,ISLAMABAD  Pakistan — Pakistan has dismissed as “incomprehensible” and of “no importance” a tweet by President Trump saying that it had accepted billions of dollars in aid from the United States while failing to act against terrorist networks.,Pakistan brushed off President Trump’s accusations of “deceit” in accepting billions while giving “haven to terrorists.” The remark  it said  was of “no importance.”,The New York Times,6,Pakistan Dismisses Trump’s Tweet on Aid as ‘Incomprehensible’,Trump Threat To Curtail Aid Is Dismissed By Pakistan,2018-01-02T12:02:48+0000,Foreign,World,article,https://www.nytimes.com/2018/01/02/world/asia/pakistan-trump-tweet.html,News,,nyt://article/aca336c3-b5db-5120-8154-d8aae6c0d8fe
Afghanistan Refugee,American health care is a universe of scientific genius and selfless compassion populated by the most diverse population in the country.,President Trump is vowing to return to two of his favorite goals in 2018: a crackdown on immigration and the dissolution of the Affordable Care Act.,American health care is a universe of scientific genius and selfless compassion populated by the most diverse population in the country.,The New York Times,19,Tom Brokaw: You Can Find the Entire World Inside Your Hospital,The World Is Inside Your Hospital,2018-01-01T00:02:50+0000,OpEd,Opinion,article,https://www.nytimes.com/2017/12/31/opinion/tom-brokaw-health-care-immigrants.html,Op-Ed,,nyt://article/4d6e855f-8b4c-550c-b095-0e5e29ea1972
